id1	x1	C1.1	C1.2	C1.3	L1	N1	id2	x2	C2.1	C2.2	C2.3	L2	N2	id3	x3	C3.1	C3.2	C3.3	L3	N3	id4	x4	C4.1	C4.2	C4.3	L4
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	9	0.460188201	0.007245673	-0.519589476	0.854385321	0.420826146	3	1	0.458253352	-0.683247127	-0.696955172	0.217777068	0.142962455
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	9	0.460188201	0.007245673	-0.519589476	0.854385321	0.420826146	3	2	0.458253352	0.576500226	-0.39044133	0.717776468	0.118549964
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	9	0.460188201	0.007245673	-0.519589476	0.854385321	0.420826146	3	3	0.458253352	0.72356729	-0.593438421	-0.352535414	0.113028913
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	10	0.460188201	-0.84421055	-0.048552884	0.533808172	0.188385007	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	11	0.503198378	-0.508068844	0.099768132	0.855518773	0.090939524	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	12	0.745674294	-0.333779664	-0.82889788	0.448909167	0.185620449	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	13	0.745674294	-0.832025774	-0.444873839	0.331391578	0.174131696	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	14	0.762339352	-0.6370545	0.258672818	0.726119782	0.176130635	0	0	0	0	0	0	0
1	0	0	0	1	1	24	2	0.071022715	-0.316545482	-0.285500524	0.904592952	0.735357013	15	15	0.779500815	-0.706746635	-0.339783606	0.620529045	0.186451278	0	0	0	0	0	0	0
1	0	0	0	1	1	24	3	0.106038097	0.282145538	-0.84708259	0.450383149	0.410126701	3	1	0.285637147	0.963328955	-0.024940642	0.267161542	0.135110039	0	0	0	0	0	0	0
1	0	0	0	1	1	24	3	0.106038097	0.282145538	-0.84708259	0.450383149	0.410126701	3	2	0.64090666	0.360540887	-0.751438904	-0.552584693	0.10037503	0	0	0	0	0	0	0
1	0	0	0	1	1	24	3	0.106038097	0.282145538	-0.84708259	0.450383149	0.410126701	3	3	0.396452054	0.777794689	-0.166019301	0.606195524	0.261733828	0	0	0	0	0	0	0
1	0	0	0	1	1	24	4	0.117341082	-0.030553295	-0.55602084	0.830606599	0.789912941	7	1	0.216862404	-0.438742474	-0.894481121	0.086073028	0.289786822	0	0	0	0	0	0	0
1	0	0	0	1	1	24	4	0.117341082	-0.030553295	-0.55602084	0.830606599	0.789912941	7	2	0.216862404	0.587214751	-0.681307667	0.43703398	0.278011785	0	0	0	0	0	0	0
1	0	0	0	1	1	24	4	0.117341082	-0.030553295	-0.55602084	0.830606599	0.789912941	7	3	0.552701644	-0.356392789	-0.931585741	0.071639287	0.213622003	0	0	0	0	0	0	0
1	0	0	0	1	1	24	4	0.117341082	-0.030553295	-0.55602084	0.830606599	0.789912941	7	4	0.552701644	0.48231396	-0.798310015	0.360658237	0.191238894	0	0	0	0	0	0	0
1	0	0	0	1	1	24	4	0.117341082	-0.030553295	-0.55602084	0.830606599	0.789912941	7	5	0.552701644	0.326437548	-0.135711417	0.935425539	0.24365064	0	0	0	0	0	0	0
